interaction_id,escalated,channel,client_type,issue_type,fcr,csat_score,aht_seconds,ad_spend_recovered,sentiment,date,probabilidad_escalamiento,prediccion_050,nivel_riesgo
2394,1,Email,Advertiser,Account Access,1,1,636,0.0,Negative,2025-04-29,0.20312485205306627,0,Bajo
5092,0,Chat,Advertiser,Content Violation,1,4,505,0.0,Negative,2025-04-20,0.18974809710733237,0,Bajo
7057,0,Chat,User,Content Violation,1,2,528,0.0,Neutral,2025-04-03,0.18447918023341914,0,Bajo
3102,0,Chat,User,General Support,1,5,526,0.0,Positive,2025-04-24,0.195513746777646,0,Bajo
8278,0,Chat,Business Page,Content Violation,1,5,286,0.0,Positive,2025-04-24,0.21646912834806853,0,Bajo
8329,0,Email,User,Account Access,1,5,718,0.0,Neutral,2025-04-07,0.2027241479245201,0,Bajo
1859,0,Email,User,Content Violation,1,3,401,0.0,Negative,2025-04-08,0.19845773970029565,0,Bajo
519,1,Chat,Advertiser,Page Management,1,2,636,0.0,Negative,2025-04-23,0.20644561829497357,0,Bajo
4206,0,Chat,Advertiser,Page Management,1,1,629,0.0,Neutral,2025-04-23,0.20134681896760195,0,Bajo
1361,0,Voice,User,Content Violation,0,5,545,0.0,Negative,2025-04-11,0.20158514365895697,0,Bajo
6627,0,Email,Business Page,Ad Billing,0,5,517,0.0,Neutral,2025-04-22,0.18307589151375483,0,Bajo
6925,0,Chat,Business Page,Account Access,0,4,688,0.0,Neutral,2025-04-06,0.19140211295584067,0,Bajo
5591,0,Chat,User,Account Access,1,5,480,0.0,Negative,2025-04-03,0.21842899400421922,0,Bajo
7825,0,Chat,Advertiser,General Support,0,3,425,0.0,Positive,2025-04-15,0.1908614133299063,0,Bajo
4304,1,Email,User,Page Management,1,2,514,0.0,Positive,2025-04-17,0.21584130212026445,0,Bajo
8147,0,Voice,Advertiser,Page Management,1,3,642,0.0,Neutral,2025-04-01,0.21154339861473545,0,Bajo
484,0,Chat,Advertiser,General Support,1,5,751,0.0,Positive,2025-04-21,0.18599765650973626,0,Bajo
4069,0,Voice,User,Page Management,1,2,507,0.0,Positive,2025-04-16,0.2353708446949741,0,Bajo
9641,0,Email,Business Page,General Support,1,5,641,0.0,Positive,2025-04-11,0.18765666517083587,0,Bajo
9575,0,Chat,User,Page Management,1,5,753,0.0,Neutral,2025-04-20,0.1981268043382815,0,Bajo
2610,0,Email,User,General Support,1,4,724,0.0,Negative,2025-04-23,0.21490752394949447,0,Bajo
9260,0,Chat,Advertiser,Page Management,0,3,762,0.0,Negative,2025-04-26,0.20843036268383405,0,Bajo
2058,0,Voice,User,Account Access,1,4,614,0.0,Neutral,2025-04-12,0.21424152913109062,0,Bajo
8714,0,Chat,User,Content Violation,0,4,562,0.0,Positive,2025-04-21,0.19861002406718756,0,Bajo
1162,0,Chat,Business Page,Page Management,0,2,564,0.0,Positive,2025-04-11,0.20000920416536386,0,Bajo
9123,0,Email,User,General Support,1,5,640,0.0,Neutral,2025-04-28,0.197950403702488,0,Bajo
3464,0,Chat,Business Page,Account Access,1,5,552,0.0,Positive,2025-04-14,0.19410447302606093,0,Bajo
8452,0,Email,User,General Support,1,4,653,0.0,Positive,2025-04-05,0.19597582847010023,0,Bajo
1490,0,Chat,Business Page,Content Violation,1,2,701,0.0,Negative,2025-04-21,0.18630595775493006,0,Bajo
1971,0,Chat,User,Content Violation,1,3,414,0.0,Positive,2025-04-14,0.19433461024471993,0,Bajo
8064,0,Chat,User,Ad Billing,1,3,713,0.0,Neutral,2025-04-22,0.19609125545599684,0,Bajo
1990,0,Chat,Business Page,Page Management,1,5,605,0.0,Neutral,2025-04-05,0.1888520067399221,0,Bajo
933,0,Chat,Advertiser,Account Access,0,4,577,0.0,Negative,2025-04-09,0.20684959037685405,0,Bajo
5364,0,Chat,Business Page,Account Access,1,3,442,0.0,Neutral,2025-04-07,0.19754302327240014,0,Bajo
7984,0,Email,Business Page,Account Access,1,5,561,0.0,Neutral,2025-04-08,0.19319810492863765,0,Bajo
4600,0,Chat,User,Ad Billing,1,3,433,0.0,Neutral,2025-04-11,0.19834428247583288,0,Bajo
4480,0,Voice,User,General Support,1,5,524,0.0,Negative,2025-04-12,0.2270463995438657,0,Bajo
4229,1,Chat,User,Ad Billing,1,5,693,0.0,Neutral,2025-04-11,0.19665806127916927,0,Bajo
5246,0,Email,User,Account Access,0,2,771,0.0,Negative,2025-04-02,0.21380427588396533,0,Bajo
6759,1,Chat,User,Account Access,1,3,644,0.0,Negative,2025-04-11,0.2121136527052449,0,Bajo
1576,0,Chat,Business Page,Ad Billing,1,4,420,0.0,Negative,2025-04-29,0.20098000342914069,0,Bajo
8102,0,Email,Business Page,General Support,1,5,490,0.0,Negative,2025-04-01,0.2079968475999805,0,Bajo
5912,0,Email,Advertiser,Page Management,1,5,488,0.0,Negative,2025-04-12,0.20809875117152668,0,Bajo
2490,0,Email,User,Page Management,1,4,935,0.0,Negative,2025-04-12,0.24368998770503095,0,Bajo
3228,0,Chat,User,Account Access,1,2,686,0.0,Positive,2025-04-17,0.20214567500161548,0,Bajo
6272,1,Chat,Advertiser,Ad Billing,1,4,531,375.76,Positive,2025-04-07,0.19335217345106234,0,Bajo
7827,1,Voice,User,Ad Billing,0,5,464,0.0,Neutral,2025-04-13,0.2084627256016803,0,Bajo
3196,1,Email,User,Page Management,1,5,464,0.0,Positive,2025-04-13,0.20332109204957488,0,Bajo
8204,1,Chat,Business Page,Page Management,1,1,545,0.0,Positive,2025-04-18,0.20665135529444648,0,Bajo
2599,1,Email,User,Account Access,1,3,566,0.0,Negative,2025-04-12,0.22123311729884415,0,Bajo
982,0,Chat,Advertiser,Content Violation,0,4,602,0.0,Negative,2025-04-21,0.18221028578791795,0,Bajo
4831,1,Voice,User,Ad Billing,0,5,884,0.0,Neutral,2025-04-02,0.17484480057877702,0,Bajo
3340,0,Chat,Business Page,Account Access,1,3,584,0.0,Negative,2025-04-18,0.21605569518319834,0,Bajo
4974,0,Chat,Advertiser,Ad Billing,0,2,448,413.36,Neutral,2025-04-26,0.17024784664353154,0,Bajo
8695,0,Chat,User,Ad Billing,1,4,843,0.0,Positive,2025-04-23,0.18138381891329464,0,Bajo
6024,0,Chat,Advertiser,Content Violation,1,5,640,0.0,Negative,2025-04-09,0.176602526616148,0,Bajo
9478,0,Chat,Advertiser,Ad Billing,1,3,428,74.19,Positive,2025-04-01,0.19153803355859392,0,Bajo
6164,0,Email,Business Page,Ad Billing,0,4,409,0.0,Negative,2025-04-12,0.19905671508995387,0,Bajo
8836,0,Email,Advertiser,Account Access,0,3,522,0.0,Positive,2025-04-20,0.20161852028370797,0,Bajo
4471,1,Chat,Business Page,Ad Billing,0,5,670,0.0,Positive,2025-04-01,0.17856988584622804,0,Bajo
189,0,Chat,Business Page,General Support,1,5,557,0.0,Neutral,2025-04-09,0.19012397734520822,0,Bajo
1441,0,Email,User,Account Access,1,5,405,0.0,Positive,2025-04-09,0.2061637525348523,0,Bajo
6146,1,Voice,User,Page Management,0,5,714,0.0,Positive,2025-04-02,0.20676228339681157,0,Bajo
4599,1,Email,Business Page,Ad Billing,0,2,587,0.0,Negative,2025-04-06,0.20129491010696351,0,Bajo
9562,0,Chat,User,Page Management,1,4,650,0.0,Negative,2025-04-25,0.21448067940690468,0,Bajo
1622,1,Chat,User,Ad Billing,1,2,624,0.0,Negative,2025-04-19,0.21165257422283165,0,Bajo
7092,0,Chat,Advertiser,Account Access,1,2,833,0.0,Negative,2025-04-06,0.2096603485098602,0,Bajo
7197,0,Chat,Advertiser,General Support,1,4,701,0.0,Positive,2025-04-12,0.18755077172172469,0,Bajo
7424,0,Email,Advertiser,General Support,1,3,638,0.0,Negative,2025-04-01,0.20772141819095918,0,Bajo
5177,0,Voice,User,General Support,1,5,594,0.0,Negative,2025-04-28,0.21254633351994245,0,Bajo
8549,0,Voice,Advertiser,Content Violation,0,4,783,0.0,Negative,2025-04-25,0.19802153197484826,0,Bajo
4584,1,Chat,User,Content Violation,0,5,712,0.0,Negative,2025-04-12,0.18314639785009482,0,Bajo
9864,0,Chat,User,Ad Billing,1,3,524,0.0,Negative,2025-04-20,0.21827744200664395,0,Bajo
4,0,Voice,Advertiser,Page Management,1,4,419,0.0,Negative,2025-04-13,0.21228227028937496,0,Bajo
4265,0,Chat,Advertiser,Page Management,1,1,679,0.0,Positive,2025-04-12,0.2018569043301775,0,Bajo
4186,0,Email,Advertiser,Account Access,0,5,713,0.0,Positive,2025-04-13,0.1936790920203751,0,Bajo
95,0,Email,User,Account Access,0,5,559,0.0,Neutral,2025-04-06,0.21050726168913017,0,Bajo
7201,0,Chat,Advertiser,Content Violation,1,4,486,0.0,Positive,2025-04-04,0.19705527619522514,0,Bajo
1471,0,Email,User,Content Violation,1,5,744,0.0,Positive,2025-04-01,0.1818461078712718,0,Bajo
235,0,Chat,Advertiser,Account Access,0,4,638,0.0,Negative,2025-04-13,0.20106865423207151,0,Bajo
5128,0,Chat,Advertiser,Account Access,0,5,563,0.0,Negative,2025-04-15,0.20809812665139205,0,Bajo
5077,0,Voice,User,Page Management,1,5,642,0.0,Negative,2025-04-18,0.20532688626190554,0,Bajo
7155,0,Email,Advertiser,Page Management,0,3,433,0.0,Neutral,2025-04-05,0.20015644859721735,0,Bajo
4521,1,Chat,Business Page,Content Violation,1,5,540,0.0,Negative,2025-04-15,0.17715596600120795,0,Bajo
8166,0,Voice,User,General Support,1,5,575,0.0,Neutral,2025-04-18,0.2079289747083565,0,Bajo
6982,0,Chat,Business Page,Content Violation,0,4,738,0.0,Positive,2025-04-27,0.17919559195848977,0,Bajo
7230,0,Chat,User,General Support,1,2,620,0.0,Neutral,2025-04-07,0.1999037650924803,0,Bajo
3071,0,Email,User,Page Management,1,3,383,0.0,Negative,2025-04-24,0.22283058055251245,0,Bajo
4189,0,Chat,Business Page,General Support,0,3,426,0.0,Negative,2025-04-28,0.21126894757049916,0,Bajo
7880,1,Voice,Business Page,General Support,0,5,441,0.0,Negative,2025-04-26,0.21201024700483853,0,Bajo
4609,0,Chat,Business Page,Account Access,1,4,548,0.0,Neutral,2025-04-06,0.19670783693423738,0,Bajo
3669,0,Voice,Business Page,Content Violation,1,2,649,0.0,Negative,2025-04-27,0.19691879411297464,0,Bajo
5154,0,Chat,User,Content Violation,0,2,596,0.0,Positive,2025-04-11,0.19667236826396148,0,Bajo
7720,0,Email,Business Page,Content Violation,1,4,551,0.0,Negative,2025-04-10,0.18119745784186297,0,Bajo
8752,0,Chat,User,Ad Billing,1,3,414,0.0,Positive,2025-04-26,0.1979283079936704,0,Bajo
4033,0,Chat,User,Ad Billing,1,4,517,0.0,Neutral,2025-04-27,0.20120608788905303,0,Bajo
1604,0,Email,User,General Support,1,5,665,0.0,Negative,2025-04-27,0.2168850156607194,0,Bajo
1033,0,Chat,User,Page Management,1,4,643,0.0,Negative,2025-04-14,0.20898211002570274,0,Bajo
1304,0,Chat,Advertiser,Content Violation,1,2,628,0.0,Positive,2025-04-29,0.20096973189266212,0,Bajo
6340,0,Chat,Business Page,Content Violation,0,5,682,0.0,Positive,2025-04-08,0.17520934859297357,0,Bajo
1976,0,Chat,Business Page,Content Violation,1,4,787,0.0,Neutral,2025-04-28,0.1644659833288225,0,Bajo
2587,0,Chat,User,Page Management,1,5,570,0.0,Neutral,2025-04-13,0.19921398658712167,0,Bajo
3240,0,Email,Advertiser,Ad Billing,1,5,695,288.57,Neutral,2025-04-12,0.20877494587501705,0,Bajo
5854,0,Email,User,Content Violation,1,4,716,0.0,Positive,2025-04-10,0.1845322631301502,0,Bajo
6524,0,Voice,Business Page,Ad Billing,1,3,659,0.0,Negative,2025-04-09,0.20866991182569128,0,Bajo
5080,0,Chat,User,General Support,1,5,574,0.0,Positive,2025-04-20,0.19585010681666282,0,Bajo
8981,1,Email,User,Page Management,1,4,514,0.0,Neutral,2025-04-01,0.201641730843468,0,Bajo
583,1,Email,Business Page,General Support,1,3,716,0.0,Negative,2025-04-26,0.21082888101814806,0,Bajo
8379,0,Chat,Advertiser,Content Violation,1,4,770,0.0,Neutral,2025-04-02,0.1797345398671586,0,Bajo
9049,0,Voice,User,Content Violation,0,3,710,0.0,Positive,2025-04-27,0.1985810572184119,0,Bajo
4349,0,Chat,Advertiser,Content Violation,1,4,576,0.0,Neutral,2025-04-19,0.18301778032122856,0,Bajo
7980,0,Chat,Business Page,Content Violation,0,3,610,0.0,Positive,2025-04-03,0.18895025956446213,0,Bajo
756,0,Chat,Advertiser,Page Management,1,5,732,0.0,Negative,2025-04-03,0.1981062864447194,0,Bajo
6756,1,Voice,Advertiser,General Support,1,4,622,0.0,Negative,2025-04-08,0.2049743258611708,0,Bajo
8831,0,Email,Advertiser,Ad Billing,0,5,631,435.6,Negative,2025-04-04,0.19042374378638066,0,Bajo
725,0,Email,Business Page,Ad Billing,1,5,553,0.0,Positive,2025-04-29,0.1928746930250738,0,Bajo
4098,0,Voice,User,General Support,1,4,592,0.0,Positive,2025-04-12,0.20096558103775922,0,Bajo
3862,0,Voice,User,General Support,1,4,680,0.0,Positive,2025-04-06,0.1946666048507547,0,Bajo
3076,1,Email,Business Page,Ad Billing,1,1,926,0.0,Negative,2025-04-10,0.24090266317371245,0,Bajo
680,0,Chat,User,General Support,0,2,642,0.0,Positive,2025-04-16,0.18926085630875034,0,Bajo
8500,1,Voice,Business Page,Account Access,0,5,812,0.0,Neutral,2025-04-23,0.18053845978165753,0,Bajo
3295,0,Email,Advertiser,Account Access,1,2,893,0.0,Negative,2025-04-10,0.2188197284307827,0,Bajo
3498,0,Chat,Advertiser,Page Management,1,5,636,0.0,Positive,2025-04-08,0.18669437090177726,0,Bajo
1177,1,Chat,Business Page,Account Access,1,4,581,0.0,Neutral,2025-04-29,0.19821538193024618,0,Bajo
6155,1,Chat,Advertiser,Ad Billing,1,4,525,408.87,Neutral,2025-04-26,0.19416224764458,0,Bajo
3388,0,Voice,User,Ad Billing,1,4,732,0.0,Neutral,2025-04-15,0.1987729555654926,0,Bajo
4995,0,Chat,Advertiser,Account Access,0,5,473,0.0,Negative,2025-04-22,0.2101778973276798,0,Bajo
9197,1,Chat,Business Page,Page Management,0,5,644,0.0,Positive,2025-04-04,0.18381751913171188,0,Bajo
1101,0,Chat,Advertiser,Ad Billing,0,4,522,99.62,Neutral,2025-04-14,0.1855797151782071,0,Bajo
4925,0,Chat,Business Page,Content Violation,1,5,603,0.0,Negative,2025-04-13,0.17438309074618927,0,Bajo
3789,0,Chat,Advertiser,General Support,1,4,793,0.0,Negative,2025-04-07,0.20549063777683246,0,Bajo
4114,0,Voice,Advertiser,Page Management,1,4,722,0.0,Neutral,2025-04-18,0.20148466748074018,0,Bajo
9431,0,Chat,Advertiser,Content Violation,1,3,395,0.0,Positive,2025-04-20,0.19963880128949354,0,Bajo
1189,0,Voice,User,Account Access,0,2,770,0.0,Positive,2025-04-26,0.20126604261981754,0,Bajo
9873,0,Email,Business Page,General Support,0,3,749,0.0,Neutral,2025-04-12,0.19196537910408323,0,Bajo
6100,1,Voice,User,Account Access,1,5,571,0.0,Positive,2025-04-09,0.22090965360588155,0,Bajo
8954,0,Chat,Advertiser,Ad Billing,1,3,472,883.24,Negative,2025-04-01,0.18472205862642194,0,Bajo
81,0,Chat,Business Page,General Support,0,5,750,0.0,Positive,2025-04-02,0.1778607352916533,0,Bajo
3257,0,Email,Advertiser,Page Management,0,4,472,0.0,Neutral,2025-04-15,0.19885479916533952,0,Bajo
7194,0,Voice,Advertiser,Account Access,1,5,623,0.0,Neutral,2025-04-01,0.20628853692658888,0,Bajo
6474,0,Email,User,Page Management,1,4,795,0.0,Positive,2025-04-13,0.19632421764369754,0,Bajo
7472,0,Chat,Advertiser,Account Access,1,4,649,0.0,Negative,2025-04-11,0.20938608557989433,0,Bajo
3547,0,Chat,Business Page,Content Violation,0,2,550,0.0,Neutral,2025-04-13,0.17972188923336596,0,Bajo
6516,0,Email,Advertiser,Page Management,1,3,639,0.0,Neutral,2025-04-17,0.2022740594074821,0,Bajo
2639,0,Email,User,Content Violation,0,5,356,0.0,Positive,2025-04-09,0.19978205030950358,0,Bajo
7096,1,Voice,Business Page,General Support,1,5,563,0.0,Positive,2025-04-07,0.19666513281080356,0,Bajo
4060,1,Chat,Business Page,Account Access,1,3,581,0.0,Neutral,2025-04-24,0.19830154721964713,0,Bajo
8048,1,Chat,Advertiser,Page Management,1,4,492,0.0,Neutral,2025-04-02,0.19679679218498075,0,Bajo
7325,0,Email,Business Page,Content Violation,1,4,707,0.0,Positive,2025-04-10,0.17548779969022424,0,Bajo
5000,1,Voice,Advertiser,Page Management,1,4,437,0.0,Positive,2025-04-09,0.21272226378584713,0,Bajo
9340,0,Chat,Business Page,Page Management,1,5,605,0.0,Negative,2025-04-04,0.2022255688921441,0,Bajo
2653,1,Chat,User,Content Violation,0,4,552,0.0,Negative,2025-04-18,0.19152148732475063,0,Bajo
3662,0,Chat,Advertiser,Content Violation,1,4,583,0.0,Negative,2025-04-03,0.1875749136802073,0,Bajo
4128,0,Email,User,General Support,1,5,642,0.0,Positive,2025-04-13,0.1905668152883747,0,Bajo
2125,0,Email,Business Page,Account Access,1,5,627,0.0,Neutral,2025-04-26,0.19164178266875376,0,Bajo
5041,0,Voice,Advertiser,Page Management,1,5,632,0.0,Negative,2025-04-12,0.19782130578988233,0,Bajo
155,0,Chat,User,Ad Billing,1,4,477,0.0,Positive,2025-04-05,0.20005283127952908,0,Bajo
6061,0,Email,User,General Support,1,2,498,0.0,Neutral,2025-04-27,0.20222411585643754,0,Bajo
8913,0,Email,Business Page,General Support,0,3,488,0.0,Neutral,2025-04-25,0.19623388486210308,0,Bajo
7646,0,Email,Business Page,Page Management,1,5,508,0.0,Neutral,2025-04-05,0.1901479664623611,0,Bajo
7473,0,Voice,Business Page,Content Violation,1,5,572,0.0,Neutral,2025-04-13,0.18368111323358707,0,Bajo
143,0,Voice,User,Content Violation,1,5,752,0.0,Negative,2025-04-21,0.19863066652097866,0,Bajo
3525,0,Email,User,Account Access,0,4,537,0.0,Negative,2025-04-09,0.22348424524060817,0,Bajo
5378,0,Voice,Business Page,Account Access,0,5,554,0.0,Neutral,2025-04-08,0.20382333309655162,0,Bajo
5072,0,Chat,Business Page,Ad Billing,1,3,493,0.0,Negative,2025-04-14,0.20658689341075487,0,Bajo
2738,0,Chat,Advertiser,Page Management,1,5,498,0.0,Negative,2025-04-11,0.2018091097169376,0,Bajo
9116,0,Chat,Business Page,Account Access,1,3,662,0.0,Negative,2025-04-28,0.21109933434240932,0,Bajo
1289,0,Chat,Business Page,General Support,0,4,645,0.0,Neutral,2025-04-25,0.18622849073739145,0,Bajo
9571,0,Chat,Business Page,Ad Billing,1,2,677,0.0,Negative,2025-04-29,0.20633846271702871,0,Bajo
5811,0,Chat,Advertiser,Page Management,1,5,683,0.0,Positive,2025-04-02,0.19093180018887387,0,Bajo
4713,0,Voice,Business Page,Content Violation,1,4,500,0.0,Neutral,2025-04-23,0.19210156603650452,0,Bajo
4695,0,Voice,User,Account Access,1,5,606,0.0,Negative,2025-04-13,0.2197249314571543,0,Bajo
2113,0,Email,User,General Support,0,3,697,0.0,Negative,2025-04-25,0.2202658025058242,0,Bajo
488,0,Email,Advertiser,General Support,0,5,723,0.0,Positive,2025-04-23,0.18123107043653575,0,Bajo
8568,0,Voice,Advertiser,Account Access,1,3,403,0.0,Negative,2025-04-20,0.22926703164355802,0,Bajo
2471,1,Chat,Business Page,Page Management,0,4,826,0.0,Positive,2025-04-19,0.17721788095562527,0,Bajo
6775,1,Chat,Advertiser,Content Violation,1,5,750,0.0,Neutral,2025-04-01,0.1757317228348489,0,Bajo
7607,0,Chat,User,General Support,1,2,581,0.0,Neutral,2025-04-21,0.20081782203644974,0,Bajo
5691,0,Voice,Business Page,Page Management,1,5,626,0.0,Positive,2025-04-23,0.19946650746894234,0,Bajo
517,0,Voice,User,Content Violation,1,5,617,0.0,Neutral,2025-04-06,0.18371524491773056,0,Bajo
6529,0,Email,Business Page,Account Access,0,4,647,0.0,Neutral,2025-04-02,0.1952452324785474,0,Bajo
6635,0,Chat,Advertiser,Page Management,1,3,665,0.0,Negative,2025-04-18,0.2075883870778775,0,Bajo
2982,0,Chat,Advertiser,Ad Billing,1,1,759,231.75,Negative,2025-04-29,0.23975964380109693,0,Bajo
7445,1,Email,Advertiser,Content Violation,1,3,626,0.0,Positive,2025-04-24,0.19329096973197854,0,Bajo
1208,0,Chat,User,Content Violation,1,3,524,0.0,Neutral,2025-04-24,0.18492653171785128,0,Bajo
9898,0,Chat,User,Page Management,1,1,596,0.0,Positive,2025-04-11,0.2095342058369001,0,Bajo
2819,0,Chat,Business Page,Content Violation,1,4,602,0.0,Neutral,2025-04-09,0.16897289181123143,0,Bajo
6830,0,Chat,Business Page,Ad Billing,1,5,628,0.0,Negative,2025-04-28,0.19987018469628545,0,Bajo
6168,0,Email,Business Page,Account Access,0,5,405,0.0,Positive,2025-04-08,0.19786479560141665,0,Bajo
4868,1,Chat,Business Page,Ad Billing,0,5,682,0.0,Negative,2025-04-11,0.19139109824849257,0,Bajo
7117,0,Chat,Business Page,Page Management,0,1,751,0.0,Positive,2025-04-02,0.19633218032301214,0,Bajo
4076,0,Voice,Advertiser,General Support,1,5,612,0.0,Neutral,2025-04-04,0.19843360634661691,0,Bajo
6523,1,Chat,Business Page,Account Access,1,5,584,0.0,Negative,2025-04-05,0.2122891995703926,0,Bajo
8390,0,Chat,Advertiser,General Support,0,5,645,0.0,Positive,2025-04-10,0.18081182395628972,0,Bajo
4131,0,Chat,Advertiser,Content Violation,1,5,730,0.0,Positive,2025-04-21,0.17559681907652744,0,Bajo
9061,0,Email,Business Page,Page Management,1,5,662,0.0,Negative,2025-04-19,0.20959345493841305,0,Bajo
1279,1,Chat,Advertiser,Account Access,1,5,588,0.0,Neutral,2025-04-11,0.2013784639504732,0,Bajo
1881,1,Voice,Business Page,General Support,0,2,413,0.0,Neutral,2025-04-23,0.21140715981624092,0,Bajo
7667,0,Voice,Advertiser,Ad Billing,1,5,587,566.56,Neutral,2025-04-18,0.2115492167575043,0,Bajo
1124,1,Chat,Business Page,Content Violation,0,5,533,0.0,Neutral,2025-04-11,0.16873023785672595,0,Bajo
8458,0,Chat,Advertiser,Account Access,1,4,418,0.0,Negative,2025-04-04,0.21891151132433428,0,Bajo
1572,0,Chat,Business Page,Page Management,0,4,670,0.0,Negative,2025-04-24,0.19970390887060113,0,Bajo
2856,0,Voice,User,Content Violation,0,2,624,0.0,Positive,2025-04-13,0.20204977146421718,0,Bajo
3896,0,Chat,Advertiser,General Support,1,4,681,0.0,Negative,2025-04-06,0.20342938546565384,0,Bajo
9922,1,Chat,Business Page,General Support,1,3,563,0.0,Positive,2025-04-26,0.1891981835226712,0,Bajo
431,1,Voice,User,General Support,1,2,462,0.0,Neutral,2025-04-04,0.21538617813981156,0,Bajo
6612,1,Voice,Advertiser,Account Access,1,3,542,0.0,Neutral,2025-04-28,0.2194275653147994,0,Bajo
4279,0,Voice,User,Page Management,0,5,795,0.0,Neutral,2025-04-16,0.20263079793136793,0,Bajo
5004,1,Voice,Business Page,Page Management,0,5,677,0.0,Positive,2025-04-17,0.19532303613743962,0,Bajo
5172,1,Chat,Advertiser,Ad Billing,1,4,460,23.68,Neutral,2025-04-03,0.19910157583844384,0,Bajo
7336,0,Chat,Business Page,General Support,1,5,546,0.0,Neutral,2025-04-12,0.190863099325133,0,Bajo
4182,1,Voice,Business Page,Page Management,1,5,477,0.0,Negative,2025-04-22,0.20836022656188397,0,Bajo
1690,0,Voice,Advertiser,General Support,1,1,583,0.0,Positive,2025-04-23,0.20695436555119856,0,Bajo
2617,0,Chat,Business Page,Ad Billing,0,2,515,0.0,Negative,2025-04-09,0.20402396182298554,0,Bajo
7346,0,Email,Business Page,Ad Billing,0,4,643,0.0,Positive,2025-04-05,0.1816361788374069,0,Bajo
2810,0,Voice,User,Account Access,1,4,613,0.0,Positive,2025-04-28,0.2193528248554727,0,Bajo
850,0,Chat,Advertiser,Content Violation,1,3,616,0.0,Neutral,2025-04-01,0.18956688798988564,0,Bajo
4293,0,Chat,Advertiser,Ad Billing,1,3,681,852.46,Neutral,2025-04-14,0.1807558856895633,0,Bajo
2895,0,Chat,User,Ad Billing,1,5,645,0.0,Neutral,2025-04-23,0.1972834642848521,0,Bajo
8096,0,Chat,User,Ad Billing,1,5,661,0.0,Positive,2025-04-15,0.19989357834915222,0,Bajo
9851,0,Chat,Advertiser,Content Violation,0,4,474,0.0,Negative,2025-04-21,0.19696810006278093,0,Bajo
2011,0,Voice,User,Account Access,0,5,527,0.0,Negative,2025-04-27,0.22978635855069635,0,Bajo
915,0,Voice,Advertiser,Page Management,1,4,503,0.0,Neutral,2025-04-11,0.21238917502711516,0,Bajo
5748,0,Chat,Advertiser,General Support,1,5,718,0.0,Positive,2025-04-02,0.183277602266996,0,Bajo
1639,0,Chat,Business Page,General Support,1,5,143,0.0,Negative,2025-04-07,0.24011122685757827,0,Bajo
